time_bucket,word_count
00:00-00:05,0
00:05-00:10,15
00:10-00:15,12
00:15-00:20,19
00:20-00:25,24
00:25-00:30,17
00:30-00:35,27
00:35-00:40,15
00:40-00:45,0
00:45-00:50,25
00:50-00:55,8
00:55-01:00,19
01:00-01:05,4
01:05-01:10,3
01:10-01:15,0
01:15-01:20,11
01:20-01:25,7
01:25-01:30,14
01:30-01:35,4
01:35-01:40,18
01:40-01:45,7
01:45-01:50,5
01:50-01:55,9
01:55-02:00,2
02:00-02:05,8
02:05-02:10,13
02:10-02:15,11
02:15-02:20,17
02:20-02:25,4
02:25-02:30,0
02:30-02:35,12
02:35-02:40,1
02:40-02:45,13
02:45-02:50,13
02:50-02:55,8
02:55-03:00,14
03:00-03:05,2
03:05-03:10,9
03:10-03:15,3
03:15-03:20,1
03:20-03:25,0
03:25-03:30,4
03:30-03:35,4
03:35-03:40,11
03:40-03:45,20
03:45-03:50,14
03:50-03:55,12
03:55-04:00,6
04:00-04:05,1
04:05-04:10,5
04:10-04:15,14
04:15-04:20,17
04:20-04:25,5
04:25-04:30,9
04:30-04:35,0
04:35-04:40,0
04:40-04:45,3
04:45-04:50,0
04:50-04:55,10
04:55-05:00,1
05:00-05:05,1
05:05-05:10,0
05:10-05:15,3
05:15-05:20,6
05:20-05:25,8
05:25-05:30,14
05:30-05:35,9
05:35-05:40,10
05:40-05:45,0
05:45-05:50,6
05:50-05:55,6
05:55-06:00,3
06:00-06:05,0
